Vessel	Specifications	Country	Owner	ETA US Gulf	ETA MH	Last Port	ETA Balboa	Comments
March								
BW Magellan	84k; 15 blt; DF; DT	Korea	BW LPG	14–15 Mar	15–16 Mar	China	10-Mar	"Magellan ETA Balboa 10-Mar, NB slot booked 12-Mar, Orion and Breeze on ballast via Cape"
Continental	84k; 14 blt	Korea	Helios	18–19 Mar	17–18 Mar	India	Cape	On ballast via Cape
Sunny Bright	79k; 04 blt	Japan	Eneos	21–22 Mar	22–23 Mar	WC Mex	12-Mar	Looking to buy FOB. Tentative
Hannibal	93k; 24 blt; DF	China	Petredec	End Mar	End Mar	South Africa	Cape	"Sub to discharge time at Richards Bay (USG, 03-04 Apr)"
April								
Umm Laqhab	82k; 08 blt	Korea	Neptune	01–02 Apr	30–31 Mar	Thailand	Cape	On ballast via Cape
Danube River	91k; 23 blt; DF	Korea	Swisschem	02–04 Apr	25–30 Mar	East TBC	26-Mar	"At berth Ningbo, trying to book slot 27-28 Mar"
HLS Citrine	86k; 23 blt; PMX	Korea	Helios	02–04 Apr	27–30 Mar	West TBC	N/A	Ex Europe not firm to work. ETD MH 3rd March
Al Ain	86k; 22 blt	China	Wanhua	03–04 Apr	01–03 Apr	Med	N/A	"ETA Turkey 28-Feb, ETD 10-11 Mar"
Kedarnath	84k; 16 blt	Korea	Petredec	03–05 Apr	04–06 Apr	Ex DD	27–29 Mar	"Ex-DD, will gas up 01-03 Mar in Pyeongtaek"
Clipper Explorer	80k; 19 blt; PMX	Korea	Trafigura	04–05 Apr	05–06 Apr	Japan	28–29 Mar	ETA Chiba 28 Feb
Ocean Gas	82k; 08 blt	Korea	Swisschem	04–06 Apr	02–04 Apr	Indonesia	Cape	"At berth Tanjung Sekong, sub disport rotation, preference for USG"
Corfu Gas	88k; 25 blt; DF; PMX	Korea	ADMCO	05–07 Apr	04–06 Apr	Vietnam	Cape	"At berth Vung Tau, sub disport rotation"
Jia Yuan	84k; 16 blt	Korea	Keegan	06–07 Apr	05–06 Apr	China	Cape	On ballast via Cape
G. Forever	82k; 08 blt	Korea	SK Gas	07–08 Apr	06–07 Apr	Philippines	Cape	On ballast via Cape. Not to be blasted
Oriental King	84k; 17 blt	Korea	BW LPG	07–09 Apr	08–09 Apr	China	30–31 Mar	"ETA Taixing 01 Mar, sub disport rotation"
Laurel Prime	83k; 18 blt	Japan	Astomos	08–09 Apr	09–10 Apr	Japan	28–29 Mar	"ETD Negishi 05-Mar, bss 5 days waiting at Panama (Maersk Code)"
Gas Neptune	93k; 23 blt; DF; DT	China	Sinogas	08–10 Apr	10–12 Apr	China	01–02 Apr	"ETD Jaixing 09 Mar, bss 3 days Panama waiting"
Badrinath	84k; 13 blt	Korea	Exxon	09–10 Apr	08–09 Apr	Korea	Cape	On ballast via Cape
Cheyenne	84k; 15 blt	Korea	Helios	14–16 Apr	12–14 Apr	Indonesia	Cape	"Off Balikpapan, sub disport rotation"
Captain Markos	84k; 23 blt; DF; DT	Japan	Helios	15–16 Apr	14–15 Apr	Indonesia	Cape	"ETA Fuzhou 27 Feb, sub disport rotation. Not firm held for COA"
BW Frigg	84k; 16 blt; DF; DT	Korea	BW LPG	15–16 Apr	13–15 Apr	India	Cape	Sub India turnaround
BW Tokyo	83k; 09 blt	Japan	Helios	15–17 Apr	16–18 Apr	Japan	07–09 Apr	"ETA Kawasaki 08 Mar, sub disport rotation"
Caravelle	84k; 16 blt	Korea	Helios	15–20 Apr	15–20 Apr	Ex DD	N/A	Ex DD
Vega Star	79k; 17 blt; PMX	Korea	BWPS	15–20 Apr	15–20 Apr	China	11–12 Apr	"ETA Ningbo 13 Mar, sub disport rotation"
Gas Tiffany	84k; 16 blt	Korea	Petredec	mid Apr	mid Apr	Ex DD	early Apr	"Ex DD, ETD DD 15 Mar"
